step,lr,train_loss,train_acc,val_acc,val_loss
276,0.0009731945910630904,0.341135,88.2812,91.9600,0.265665
277,0.0009731424154705807,0.259634,93.3594,91.9600,0.265665
278,0.0009730900530905175,0.227628,94.1406,91.9600,0.265665
279,0.0009730375039435727,0.338204,89.0625,91.9600,0.265665
280,0.0009729847680504921,0.316898,90.2344,91.9600,0.265665
281,0.0009729318454320949,0.303200,89.0625,91.9600,0.265665
282,0.000972878736109274,0.313738,90.2344,91.9600,0.265665
283,0.0009728254401029961,0.239039,94.9219,91.9600,0.265665
284,0.0009727719574343016,0.242844,92.9688,91.9600,0.265665
285,0.0009727182881243049,0.269108,93.7500,91.9600,0.265665
286,0.0009726644321941937,0.315128,89.4531,91.9600,0.265665
287,0.0009726103896652291,0.367204,86.3281,91.9600,0.265665
288,0.0009725561605587466,0.247221,94.1406,91.9600,0.265665
289,0.0009725017448961549,0.222773,93.7500,91.9600,0.265665
290,0.0009724471426989364,0.310382,90.6250,91.9600,0.265665
291,0.0009723923539886472,0.251029,91.4062,91.9600,0.265665
292,0.0009723373787869171,0.340324,90.2344,91.9600,0.265665
293,0.0009722822171154493,0.256209,93.3594,91.9600,0.265665
294,0.000972226868996021,0.313040,89.4531,91.9600,0.265665
295,0.0009721713344504824,0.329421,90.6250,91.9600,0.265665
296,0.000972115613500758,0.241108,92.5781,91.9600,0.265665
297,0.0009720597061688452,0.346283,88.6719,91.9600,0.265665
298,0.0009720036124768157,0.273481,93.3594,91.9600,0.265665
299,0.0009719473324468141,0.242544,92.1875,94.6400,0.183214
300,0.0009718908661010591,0.251270,91.7969,94.6400,0.183214
301,0.0009718342134618426,0.218196,93.3594,94.6400,0.183214
302,0.00097177737455153,0.309961,89.8438,94.6400,0.183214
303,0.0009717203493925608,0.281101,90.6250,94.6400,0.183214
304,0.0009716631380074474,0.208469,95.7031,94.6400,0.183214
305,0.0009716057404187758,0.264267,93.7500,94.6400,0.183214
306,0.0009715481566492059,0.337994,89.0625,94.6400,0.183214
307,0.0009714903867214708,0.219575,92.5781,94.6400,0.183214
